"applicant_id","cohort","selected","variable","raw_value","rule","severity","action"
100006,"A_2022",1,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100006,"A_2022",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100007,"A_2020",0,"mother_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100008,"A_2020",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100010,"A_2020",0,"years_in_school","years_in_school=4; baseline_age=15; followup_age=17; age_change=2; highest_grade=7","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100010,"A_2020",0,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100010,"A_2020",0,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100010,"A_2020",0,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100010,"A_2020",0,"mother_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100010,"A_2020",0,"mother_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100011,"A_2022",1,"age_at_survey","baseline=12; followup=13; change=1","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100011,"A_2022",1,"mother_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100011,"A_2022",1,"mother_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100011,"A_2022",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100012,"A_2020",0,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100012,"A_2020",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100014,"A_2020",1,"years_in_school","years_in_school=4; baseline_age=14; followup_age=16; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100014,"A_2020",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100014,"A_2020",1,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100015,"A_2020",1,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100016,"B_2018",1,"years_in_school","years_in_school=6; baseline_age=12; followup_age=16; age_change=4; highest_grade=10","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100016,"B_2018",1,"years_in_school","years_in_school=6; baseline_age=12; followup_age=16; age_change=4; highest_grade=10","school_years_since_allocation_above_4","review","Retain as a requested policy outcome with a timing/definition caveat. Five or six years conflict with a uniform three-year interpretation but may fit the older B2018 cohort. Clarify dates and counting convention; do not cap or infer a correction."
100016,"B_2018",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100017,"A_2022",1,"age_at_survey","baseline=13; followup=14; change=1","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100017,"A_2022",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100018,"A_2020",1,"years_in_school","years_in_school=4; baseline_age=12; followup_age=14; age_change=2; highest_grade=9","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100018,"A_2020",1,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100018,"A_2020",1,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100018,"A_2020",1,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100018,"A_2020",1,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100019,"A_2020",0,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100019,"A_2020",0,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100019,"A_2020",0,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100020,"A_2022",1,"age_at_survey","baseline=12; followup=13; change=1","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100020,"A_2022",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100021,"A_2020",0,"age_at_application",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100021,"A_2020",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100022,"A_2022",0,"age_at_survey","baseline=13; followup=13; change=0","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100022,"A_2022",0,"years_in_school","years_in_school=2; baseline_age=13; followup_age=13; age_change=0; highest_grade=6","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100022,"A_2022",0,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100022,"A_2022",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100022,"A_2022",0,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100023,"A_2020",0,"years_in_school","years_in_school=4; baseline_age=13; followup_age=15; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100023,"A_2020",0,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100024,"A_2020",1,"years_in_school","years_in_school=4; baseline_age=12; followup_age=14; age_change=2; highest_grade=6","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100025,"A_2022",0,"age_at_survey","baseline=11; followup=12; change=1","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100025,"A_2022",0,"years_in_school","years_in_school=3; baseline_age=11; followup_age=12; age_change=1; highest_grade=6","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100025,"A_2022",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100026,"B_2018",1,"years_in_school","years_in_school=6; baseline_age=11; followup_age=15; age_change=4; highest_grade=9","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100026,"B_2018",1,"years_in_school","years_in_school=6; baseline_age=11; followup_age=15; age_change=4; highest_grade=9","school_years_since_allocation_above_4","review","Retain as a requested policy outcome with a timing/definition caveat. Five or six years conflict with a uniform three-year interpretation but may fit the older B2018 cohort. Clarify dates and counting convention; do not cap or infer a correction."
100026,"B_2018",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100027,"A_2020",0,"years_in_school","years_in_school=4; baseline_age=12; followup_age=14; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100027,"A_2020",0,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100027,"A_2020",0,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100027,"A_2020",0,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100027,"A_2020",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100027,"A_2020",0,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100028,"A_2020",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100029,"A_2022",0,"age_at_survey","baseline=12; followup=13; change=1","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100029,"A_2022",0,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100029,"A_2022",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100031,"A_2020",1,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100031,"A_2020",1,"mother_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100031,"A_2020",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100032,"B_2018",0,"age_at_survey","baseline=12; followup=17; change=5","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100032,"B_2018",0,"years_in_school","years_in_school=6; baseline_age=12; followup_age=17; age_change=5; highest_grade=8","school_years_since_allocation_above_4","review","Retain as a requested policy outcome with a timing/definition caveat. Five or six years conflict with a uniform three-year interpretation but may fit the older B2018 cohort. Clarify dates and counting convention; do not cap or infer a correction."
100032,"B_2018",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100033,"A_2022",1,"age_at_survey","baseline=13; followup=14; change=1","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100033,"A_2022",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100034,"A_2020",1,"years_in_school","years_in_school=4; baseline_age=11; followup_age=13; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100034,"A_2020",1,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100035,"A_2020",0,"age_at_application",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100035,"A_2020",0,"in_private_now",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100036,"A_2020",1,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100036,"A_2020",1,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100036,"A_2020",1,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100036,"A_2020",1,"mother_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100036,"A_2020",1,"mother_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100036,"A_2020",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100037,"A_2022",1,"age_at_survey","baseline=12; followup=12; change=0","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100037,"A_2022",1,"years_in_school","years_in_school=2; baseline_age=12; followup_age=12; age_change=0; highest_grade=6","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100037,"A_2022",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100038,"A_2022",1,"age_at_survey","baseline=12; followup=13; change=1","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100038,"A_2022",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100038,"A_2022",1,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100039,"A_2020",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100040,"A_2020",0,"years_in_school","years_in_school=4; baseline_age=15; followup_age=17; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100040,"A_2020",0,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100040,"A_2020",0,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100040,"A_2020",0,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100041,"A_2020",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100042,"A_2020",1,"hours_worked","0","working_but_zero_weekly_hours","review","Retain. Could reflect temporary absence or reference-period differences; do not assume zero means missing."
100043,"B_2018",1,"age_at_survey","baseline=13; followup=18; change=5","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100043,"B_2018",1,"mother_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100043,"B_2018",1,"mother_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100043,"B_2018",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100043,"B_2018",1,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100044,"A_2022",0,"age_at_survey","baseline=15; followup=13; change=-2","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100044,"A_2022",0,"age_at_survey","baseline=15; followup=13; change=-2","age_decreased","inconsistent","Followup age clean set to NA; retain baseline age and schooling outcomes. Cannot determine which source age is wrong. Exclusion sensitivity reported."
100044,"A_2022",0,"years_in_school","years_in_school=2; baseline_age=15; followup_age=13; age_change=-2; highest_grade=6","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100044,"A_2022",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100045,"B_2018",1,"age_at_survey","baseline=10; followup=15; change=5","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100045,"B_2018",1,"years_in_school","years_in_school=6; baseline_age=10; followup_age=15; age_change=5; highest_grade=9","school_years_since_allocation_above_4","review","Retain as a requested policy outcome with a timing/definition caveat. Five or six years conflict with a uniform three-year interpretation but may fit the older B2018 cohort. Clarify dates and counting convention; do not cap or infer a correction."
100045,"B_2018",1,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100045,"B_2018",1,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100045,"B_2018",1,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100045,"B_2018",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100047,"B_2018",1,"age_at_survey","baseline=11; followup=17; change=6","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100047,"B_2018",1,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100047,"B_2018",1,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100047,"B_2018",1,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100047,"B_2018",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100051,"A_2020",1,"years_in_school","years_in_school=5; baseline_age=13; followup_age=15; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100051,"A_2020",1,"years_in_school","years_in_school=5; baseline_age=13; followup_age=15; age_change=2; highest_grade=8","school_years_since_allocation_above_4","review","Retain as a requested policy outcome with a timing/definition caveat. Five or six years conflict with a uniform three-year interpretation but may fit the older B2018 cohort. Clarify dates and counting convention; do not cap or infer a correction."
100051,"A_2020",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100051,"A_2020",1,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100052,"A_2020",1,"years_in_school","years_in_school=4; baseline_age=15; followup_age=17; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100052,"A_2020",1,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100053,"B_2018",0,"age_at_survey","baseline=14; followup=19; change=5","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100053,"B_2018",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100053,"B_2018",0,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100054,"A_2020",1,"years_in_school","highest_grade=6; years_in_school=0","school_years_below_grade_progress_assuming_grade5_entry","review","Retain both fields. This screen assumes grade 5 completed at allocation. Missing baseline grade and uncertain counting convention prevent a verified correction."
100054,"A_2020",1,"age_at_application",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100054,"A_2020",1,"mother_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100054,"A_2020",1,"mother_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100055,"A_2020",1,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100056,"A_2020",1,"years_in_school","years_in_school=4; baseline_age=13; followup_age=15; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100057,"A_2020",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100058,"A_2020",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100059,"A_2020",0,"years_in_school","years_in_school=4; baseline_age=12; followup_age=14; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100059,"A_2020",0,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100061,"A_2022",1,"age_at_survey","baseline=12; followup=13; change=1","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100061,"A_2022",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100062,"A_2020",1,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100063,"B_2018",1,"years_in_school","years_in_school=6; baseline_age=12; followup_age=16; age_change=4; highest_grade=9","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100063,"B_2018",1,"years_in_school","years_in_school=6; baseline_age=12; followup_age=16; age_change=4; highest_grade=9","school_years_since_allocation_above_4","review","Retain as a requested policy outcome with a timing/definition caveat. Five or six years conflict with a uniform three-year interpretation but may fit the older B2018 cohort. Clarify dates and counting convention; do not cap or infer a correction."
100063,"B_2018",1,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100063,"B_2018",1,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100063,"B_2018",1,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100063,"B_2018",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100064,"A_2020",0,"years_in_school","years_in_school=4; baseline_age=12; followup_age=14; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100065,"A_2020",0,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100067,"A_2020",1,"years_in_school","years_in_school=4; baseline_age=11; followup_age=13; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100068,"A_2020",1,"years_in_school","years_in_school=4; baseline_age=15; followup_age=17; age_change=2; highest_grade=8","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100068,"A_2020",1,"father_age",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100068,"A_2020",1,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100068,"A_2020",1,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100068,"A_2020",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100069,"A_2020",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100070,"A_2022",1,"age_at_survey","baseline=12; followup=12; change=0","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100070,"A_2022",1,"years_in_school","years_in_school=2; baseline_age=12; followup_age=12; age_change=0; highest_grade=6","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100070,"A_2022",1,"father_income_high",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100070,"A_2022",1,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100070,"A_2022",1,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100071,"A_2022",0,"age_at_survey","baseline=12; followup=12; change=0","age_change_outside_2_to_4_screen","review","Retain recorded ages and outcomes. Screening rule only. Systematic cohort differences require survey-date clarification, not automatic correction."
100071,"A_2022",0,"years_in_school","years_in_school=2; baseline_age=12; followup_age=12; age_change=0; highest_grade=6","school_years_exceed_age_change_plus_1","review","Retain. Completed school years exceed reported age change plus a one-year diagnostic allowance. Age errors, varying followup horizons or school-year counting could explain this; do not cap the value or delete the applicant."
100071,"A_2022",0,"neighborhood",,"source_missing","missing","Keep NA. Exclude from primary controls because coverage differs by cohort."
100072,"A_2020",0,"age_at_application",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
100073,"A_2020",0,"father_educ",,"source_missing","missing","Keep NA. Use available observations for the specific outcome; no outcome imputation in point estimates."
100076,"A_2020",1,"ses_stratum",,"source_missing","missing","Keep NA. Optional adjusted model uses cohort mean and a missing indicator."
